epoch,step,ppl,loss
0,1000032,3.9673949793484278,0.03
0,2000064,3.0592563042244953,0.01
0,3000096,2.782012122961654,0.01
0,4000128,2.650943085160982,0.01
0,5000160,2.563465826817588,0.01
0,1000032,2.589347480734503,0.02
0,2000064,2.226398927896848,0.01
0,3000096,2.103377981259643,0.01
0,4000128,2.046440200859833,0.01
0,5000160,1.9990894377965136,0.01
0,6000192,1.9804250336776739,0.01
0,7000224,1.9598185509603157,0.01
0,8000256,1.9497499788247588,0.01
1,1000032,1.9436083094635082,0.01
1,2000064,1.9398960142791666,0.01
0,1000032,2.471962112333166,0.02
0,2000064,2.166713390428586,0.01
0,3000096,2.030322647245196,0.01
0,4000128,1.9809803327426205,0.01
0,5000160,1.9375484577749535,0.01
0,6000192,1.915624265378866,0.01
0,1000032,2.4831853528924075,0.02
0,7000224,1.8954961475719598,0.01
0,2000064,2.196967796739173,0.01
0,8000256,1.8855344247351538,0.01
1,1000032,1.8778094282056979,0.01
0,3000096,2.0330393715061272,0.01
0,4000128,1.9829773087274318,0.01
